rank	candidate	layer	stage	candidate_full_shape	reference_full_shape	candidate_dtype	reference_dtype	exact	different_elements	elements	reference_norm	difference_norm	zero_reference_status	rel_l2	max_abs	candidate_nonfinite	reference_nonfinite
0	diagnostic-B2	13	attn_norm_out	2x5120	1x5120	torch.bfloat16	torch.bfloat16	false	4571	5120	1.6890618801116943	0.02472209371626377	not_zero	0.014636582594966235	0.001251220703125	0	0
0	diagnostic-B2	13	attn_in	2x5120	1x5120	torch.bfloat16	torch.bfloat16	false	4571	5120	1.6890618801116943	0.02472209371626377	not_zero	0.014636582594966235	0.001251220703125	0	0
0	diagnostic-B2	13	attn_out	2x5120	1x5120	torch.bfloat16	torch.bfloat16	false	4528	5120	35.86527633666992	0.6368982195854187	not_zero	0.017758073675685902	0.0361328125	0	0
0	diagnostic-B2	13	ffn_norm_in	2x5120	1x5120	torch.bfloat16	torch.bfloat16	false	4529	5120	24.704544067382812	0.3653588593006134	not_zero	0.014789135889497892	0.01953125	0	0
0	diagnostic-B2	13	ffn_norm_out	2x5120	1x5120	torch.bfloat16	torch.bfloat16	false	4547	5120	16.037534713745117	0.23893308639526367	not_zero	0.014898367527178841	0.013671875	0	0
0	diagnostic-B2	13	ffn_in	2x5120	1x5120	torch.bfloat16	torch.bfloat16	false	4547	5120	16.037534713745117	0.23893308639526367	not_zero	0.014898367527178841	0.013671875	0	0
0	diagnostic-B2	13	ffn_out	2x5120	1x5120	torch.bfloat16	torch.bfloat16	false	4649	5120	12.064126968383789	0.20495089888572693	not_zero	0.016988456721554537	0.03125	0	0
0	diagnostic-B2	14	layer_entry	2x5120	1x5120	torch.bfloat16	torch.bfloat16	false	4649	5120	12.064126968383789	0.20495089888572693	not_zero	0.016988456721554537	0.03125	0	0
0	diagnostic-B2	14	attn_norm_in	2x5120	1x5120	torch.bfloat16	torch.bfloat16	false	4578	5120	47.0048942565918	0.709404706954956	not_zero	0.01509214557706343	0.0625	0	0
0	diagnostic-B2	14	attn_norm_out	2x5120	1x5120	torch.bfloat16	torch.bfloat16	false	4528	5120	2.0860676765441895	0.03462786227464676	not_zero	0.01659958718693719	0.009765625	0	0
0	diagnostic-B2	14	attn_in	2x5120	1x5120	torch.bfloat16	torch.bfloat16	false	4528	5120	2.0860676765441895	0.03462786227464676	not_zero	0.01659958718693719	0.009765625	0	0
0	diagnostic-B2	14	attn_out	2x5120	1x5120	torch.bfloat16	torch.bfloat16	false	4344	5120	48.331180572509766	0.6186957955360413	not_zero	0.012801172828953168	0.0625	0	0
0	diagnostic-B2	14	ffn_norm_in	2x5120	1x5120	torch.bfloat16	torch.bfloat16	false	4588	5120	39.59080505371094	0.5890384912490845	not_zero	0.014878164019397037	0.03125	0	0
0	diagnostic-B2	14	ffn_norm_out	2x5120	1x5120	torch.bfloat16	torch.bfloat16	false	4534	5120	18.71739387512207	0.2744140625	not_zero	0.014660911894616543	0.015625	0	0
0	diagnostic-B2	14	ffn_in	2x5120	1x5120	torch.bfloat16	torch.bfloat16	false	4534	5120	18.71739387512207	0.2744140625	not_zero	0.014660911894616543	0.015625	0	0
0	diagnostic-B2	14	ffn_out	2x5120	1x5120	torch.bfloat16	torch.bfloat16	false	4619	5120	16.982587814331055	0.3292763829231262	not_zero	0.019389058164931763	0.01953125	0	0
0	diagnostic-B2	15	layer_entry	2x5120	1x5120	torch.bfloat16	torch.bfloat16	false	4619	5120	16.982587814331055	0.3292763829231262	not_zero	0.019389058164931763	0.01953125	0	0
0	diagnostic-B2	15	attn_norm_in	2x5120	1x5120	torch.bfloat16	torch.bfloat16	false	4606	5120	66.72027587890625	1.0737684965133667	not_zero	0.016093585980702468	0.0625	0	0
0	diagnostic-B2	15	attn_norm_out	2x5120	1x5120	torch.bfloat16	torch.bfloat16	false	4462	5120	2.0966532230377197	0.031041601672768593	not_zero	0.014805310354467778	0.0015869140625	0	0
